day of year,jimbaran_clim,jimbaran_p90,nusadua_clim,nusadua_p90,sanur_clim,sanur_p90
113,29.7645277684238,30.7072896403651,29.7692482103610,30.7194833201747,29.7656345591168,30.7219347553868
114,29.7700248805230,30.7198057482319,29.7759637515983,30.7299994437925,29.7731466211238,30.7298057186988
115,29.7738731417838,30.7285798964962,29.7812035581989,30.7385155462450,29.7791980836872,30.7346444160707
116,29.7761245810899,30.7347088844545,29.7849912786876,30.7451606996598,29.7838873288995,30.7383218580677
117,29.7771793508381,30.7409669691516,29.7874971894439,30.7512896876181,29.7872484126139,30.7423863441713
118,29.7772748929281,30.7463218073691,29.7888385928598,30.7558058584890,29.7893371480989,30.7459346894295
119,29.7764168830347,30.7516766455866,29.7890164356630,30.7604510399603,29.7900873151185,30.7488379201581
120,29.7742363869574,30.7561927549301,29.7876248905036,30.7643220347743,29.7891489001325,30.7483863215293
121,29.7708393555582,30.7600637128276,29.7846696325152,30.7654188340710,29.7864708200826,30.7472895837599
122,29.7659892918608,30.7629669435563,29.7799718719863,30.7649672108312,29.7818156327083,30.7455476699337
123,29.7597770111731,30.7640637428530,29.7735391766039,30.7639994467458,29.7751615809555,30.7413541486186
124,29.7524352266281,30.7650960245440,29.7658085910118,30.7629671650548,29.7670119286215,30.7372896625150
125,29.7447216691430,30.7634186283235,29.7574432507649,30.7613542495235,29.7579702132473,30.7332251764113
126,29.7366562064668,30.7593540806924,29.7483485558098,30.7589026420347,29.7478273720291,30.7279993734052
127,29.7277440883141,30.7561282988518,29.7380174599491,30.7549671296150,29.7360073005157,30.7212251847790
128,29.7172673120482,30.7494831085205,29.7259476450306,30.7471606592978,29.7221552544156,30.7110961667953
129,29.7052599337026,30.7402573370164,29.7122157362730,30.7351606676655,29.7065020543085,30.6972251892090
130,29.6920908862150,30.7281282732564,29.6972303990440,30.7205155034219,29.6896048839852,30.6807735689225
131,29.6777800362515,30.7139347076416,29.6810569072128,30.7024510045205,29.6714883403221,30.6587090399958
132,29.6625667168214,30.6961282791630,29.6639554057393,30.6813542396792,29.6523189156749,30.6350315955377
133,29.6466902625582,30.6776766746275,29.6462929351882,30.6587735699069,29.6325856848343,30.6106445312500
134,29.6301790527381,30.6582573060066,29.6281697700247,30.6352251606603,29.6124475728303,30.5849671394594
135,29.6126140155671,30.6341282752252,29.6091223781601,30.6091606632356,29.5915924040149,30.5573542194982
136,29.5933783706840,30.6079992601948,29.5886389815630,30.5810316024288,29.5695679981902,30.5287090178459
137,29.5724210339478,30.5803863648445,29.5665067348493,30.5505154763499,29.5461473195220,30.4973541628930
